School, Date, KWH, Therms
Cupertino, 6/26/2023, 63507.0, 0.0
Cupertino, 5/25/2023, 81306.0, 0.0
Cupertino, 4/26/2023, 84545.0, 0.0
Cupertino, 3/27/2023, 118452.0, 0.0
Cupertino, 2/26/2023, 138527.0, 0.0
Cupertino, 1/25/2023, 136989.0, 0.0
Cupertino, 12/26/2022, 148008.0, 0.0
Cupertino, 11/27/2022, 135158.0, 0.0
Cupertino, 10/25/2022, 109148.0, 0.0
Cupertino, 9/26/2022, 141172.0, 0.0
Cupertino, 8/25/2022, 70126.0, 0.0
Cupertino, 7/26/2022, 24962.0, 0.0
Cupertino, 6/26/2022, 49463.0, 0.0
Cupertino, 5/25/2022, 69764.0, 0.0
Cupertino, 4/26/2022, 74650.0, 0.0
Cupertino, 3/27/2022, 97700.0, 0.0
Cupertino, 2/24/2022, 114279.0, 0.0
Cupertino, 1/25/2022, 119706.0, 0.0
Cupertino, 12/26/2021, 125851.0, 0.0
Cupertino, 11/28/2021, 133545.0, 0.0
Cupertino, 10/26/2021, 106139.0, 0.0
Error here -- check again: NO LINK FOUND
Cupertino, 9/27/2021, 140189.0, 0.0
Cupertino, 8/26/2021, 89783.0, 0.0
Cupertino, 7/27/2021, 42560.0, 0.0
Cupertino, 6/27/2021, 42465.0, 0.0
Cupertino, 5/26/2021, 46958.0, 0.0
Cupertino, 4/27/2021, 38385.0, 0.0
Cupertino, 3/28/2021, 33999.0, 0.0
Cupertino, 2/25/2021, 45093.0, 0.0
Cupertino, 1/26/2021, 59757.0, 0.0
Cupertino, 12/27/2020, 66638.0, 0.0
Cupertino, 11/24/2020, 84170.0, 0.0
Cupertino, 10/26/2020, 92290.0, 0.0
Cupertino, 9/24/2020, 86427.0, 0.0
Cupertino, 8/25/2020, 73263.0, 0.0
Cupertino, 7/26/2020, 36946.0, 0.0
Cupertino, 6/25/2020, 56128.0, 0.0
Cupertino, 5/27/2020, 59584.0, 0.0
Cupertino, 4/27/2020, 78120.0, 0.0
Cupertino, 3/26/2020, 123627.0, 0.0
Cupertino, 2/26/2020, 131759.0, 0.0
Cupertino, 1/27/2020, 140561.0, 0.0
Cupertino, 12/26/2019, 141032.0, 0.0
Cupertino, 11/25/2019, 144024.0, 0.0
Cupertino, 10/27/2019, 165064.0, 0.0
Cupertino, 9/26/2019, 186138.0, 0.0
Cupertino, 8/27/2019, 159106.0, 0.0
Cupertino, 7/28/2019, 124974.0, 0.0
Cupertino, 6/26/2019, 135055.0, 0.0
Cupertino, 5/28/2019, 137817.0, 0.0
Cupertino, 4/28/2019, 132747.0, 0.0
Cupertino, 3/27/2019, 124152.0, 0.0
Cupertino, 2/26/2019, 128038.0, 0.0
Cupertino, 1/27/2019, 134562.0, 0.0
Cupertino, 12/26/2018, 133951.0, 0.0
Cupertino, 11/27/2018, 150171.0, 0.0
Cupertino, 6/21/2023, 0.0, 4589.0
Cupertino, 5/22/2023, 0.0, 6938.0
Cupertino, 4/21/2023, 0.0, 13400.0
Cupertino, 3/22/2023, 0.0, 17230.0
Cupertino, 2/21/2023, 0.0, 20016.0
Cupertino, 1/20/2023, 0.0, 16628.0
Cupertino, 12/20/2022, 0.0, 16164.0
Cupertino, 11/19/2022, 0.0, 11646.0
Cupertino, 10/20/2022, 0.0, 3871.0
Cupertino, 9/21/2022, 0.0, 2193.0
Cupertino, 8/22/2022, 0.0, 2127.0
Cupertino, 7/21/2022, 0.0, 1918.0
Cupertino, 6/21/2022, 0.0, 3561.0
Cupertino, 5/20/2022, 0.0, 7613.0
Cupertino, 4/21/2022, 0.0, 8324.0
Cupertino, 3/22/2022, 0.0, 11773.0
Cupertino, 2/18/2022, 0.0, 14126.0
Cupertino, 1/20/2022, 0.0, 15818.0
Cupertino, 12/21/2021, 0.0, 15788.0
Cupertino, 11/19/2021, 0.0, 8081.0
Cupertino, 10/21/2021, 0.0, 6914.0
Cupertino, 9/22/2021, 0.0, 2926.0
Cupertino, 8/23/2021, 0.0, 1913.0
Cupertino, 7/22/2021, 0.0, 1961.0
Cupertino, 6/22/2021, 0.0, 4348.0
Cupertino, 5/21/2021, 0.0, 6232.0
Cupertino, 4/22/2021, 0.0, 8725.0
Cupertino, 3/23/2021, 0.0, 6826.0
Cupertino, 2/22/2021, 0.0, 5632.0
Cupertino, 1/21/2021, 0.0, 6271.0
Cupertino, 12/21/2020, 0.0, 8608.0
Cupertino, 11/19/2020, 0.0, 9122.0
Cupertino, 10/21/2020, 0.0, 3071.0
Cupertino, 9/21/2020, 0.0, 776.0
Cupertino, 8/20/2020, 0.0, 593.0
