School, Date, KWH, Therms
District Office, 6/20/2023, 0.0, 15.0
District Office, 5/19/2023, 0.0, 44.0
District Office, 4/20/2023, 0.0, 99.0
District Office, 3/21/2023, 0.0, 118.0
District Office, 2/17/2023, 0.0, 118.0
District Office, 1/19/2023, 0.0, 130.0
District Office, 12/19/2022, 0.0, 137.0
District Office, 11/18/2022, 0.0, 77.0
District Office, 10/19/2022, 0.0, 15.0
District Office, 9/20/2022, 0.0, 4.0
District Office, 8/18/2022, 0.0, 4.0
District Office, 7/20/2022, 0.0, 7.0
District Office, 6/17/2022, 0.0, 13.0
District Office, 5/19/2022, 0.0, 51.0
District Office, 4/20/2022, 0.0, 63.0
District Office, 3/21/2022, 0.0, 97.0
District Office, 2/17/2022, 0.0, 91.0
District Office, 1/19/2022, 0.0, 69.0
District Office, 12/20/2021, 0.0, 93.0
District Office, 11/18/2021, 0.0, 37.0
District Office, 10/20/2021, 0.0, 26.0
District Office, 9/21/2021, 0.0, 5.0
District Office, 8/20/2021, 0.0, 29.0
District Office, 7/21/2021, 0.0, 4.0
District Office, 6/21/2021, 0.0, 18.0
District Office, 5/20/2021, 0.0, 30.0
District Office, 4/21/2021, 0.0, 59.0
District Office, 3/22/2021, 0.0, 105.0
District Office, 2/19/2021, 0.0, 114.0
District Office, 1/20/2021, 0.0, 108.0
District Office, 12/18/2020, 0.0, 102.0
District Office, 11/17/2020, 0.0, 53.0
District Office, 10/20/2020, 0.0, 18.0
District Office, 9/18/2020, 0.0, 15.0
District Office, 8/19/2020, 0.0, 12.0
District Office, 7/20/2020, 0.0, 23.0
District Office, 6/19/2020, 0.0, 35.0
District Office, 5/20/2020, 0.0, 59.0
District Office, 4/21/2020, 0.0, 183.0
District Office, 3/20/2020, 0.0, 162.0
District Office, 2/20/2020, 0.0, 216.0
District Office, 1/21/2020, 0.0, 342.0
District Office, 12/19/2019, 0.0, 230.0
District Office, 11/18/2019, 0.0, 113.0
District Office, 10/21/2019, 0.0, 79.0
District Office, 9/20/2019, 0.0, 32.0
District Office, 8/21/2019, 0.0, 17.0
District Office, 7/22/2019, 0.0, 33.0
District Office, 6/20/2019, 0.0, 50.0
District Office, 5/21/2019, 0.0, 113.0
District Office, 4/22/2019, 0.0, 199.0
District Office, 3/21/2019, 0.0, 334.0
District Office, 2/20/2019, 0.0, 485.0
District Office, 1/18/2019, 0.0, 459.0
District Office, 12/19/2018, 0.0, 386.0
District Office, 11/19/2018, 0.0, 279.0
District Office, 6/15/2023, 31626.0, 0.0
District Office, 5/17/2023, 33210.0, 0.0
District Office, 4/18/2023, 37326.0, 0.0
District Office, 3/19/2023, 41967.0, 0.0
District Office, 2/15/2023, 42767.0, 0.0
District Office, 1/17/2023, 43449.0, 0.0
District Office, 12/15/2022, 41961.0, 0.0
District Office, 11/16/2022, 39986.0, 0.0
District Office, 10/17/2022, 38166.0, 0.0
District Office, 9/18/2022, 44010.0, 0.0
District Office, 8/17/2022, 37011.0, 0.0
District Office, 7/18/2022, 36517.0, 0.0
District Office, 6/15/2022, 33706.0, 0.0
District Office, 5/17/2022, 32632.0, 0.0
District Office, 4/18/2022, 36836.0, 0.0
District Office, 3/17/2022, 37127.0, 0.0
District Office, 2/15/2022, 38103.0, 0.0
District Office, 1/17/2022, 36110.0, 0.0
District Office, 12/16/2021, 29366.0, 0.0
District Office, 11/16/2021, 28723.0, 0.0
District Office, 10/18/2021, 29280.0, 0.0
District Office, 9/19/2021, 25467.0, 0.0
District Office, 8/18/2021, 13950.0, 0.0
District Office, 6/19/2023, 13974.0, 0.0
District Office, 5/18/2023, 17072.0, 0.0
District Office, 4/19/2023, 22999.0, 0.0
District Office, 3/20/2023, 26711.0, 0.0
District Office, 2/16/2023, 27304.0, 0.0
District Office, 1/18/2023, 26413.0, 0.0
District Office, 12/18/2022, 26603.0, 0.0
District Office, 11/17/2022, 20967.0, 0.0
District Office, 10/18/2022, 14717.0, 0.0
District Office, 9/19/2022, 16152.0, 0.0
District Office, 8/18/2022, 6316.0, 0.0
District Office, 7/19/2022, 3933.0, 0.0
District Office, 6/16/2022, 9213.0, 0.0
District Office, 5/18/2022, 13617.0, 0.0
District Office, 4/19/2022, 16542.0, 0.0
District Office, 3/20/2022, 19686.0, 0.0
District Office, 2/16/2022, 34239.0, 0.0
District Office, 1/18/2022, 34879.0, 0.0
District Office, 12/19/2021, 38834.0, 0.0
District Office, 11/17/2021, 23810.0, 0.0
District Office, 10/19/2021, 24512.0, 0.0
District Office, 9/20/2021, 22294.0, 0.0
District Office, 8/19/2021, 17499.0, 0.0
District Office, 7/20/2021, 12748.0, 0.0
District Office, 6/20/2021, 17781.0, 0.0
District Office, 5/19/2021, 16006.0, 0.0
District Office, 4/20/2021, 17018.0, 0.0
District Office, 3/21/2021, 20717.0, 0.0
District Office, 2/18/2021, 26446.0, 0.0
District Office, 1/19/2021, 28865.0, 0.0
District Office, 12/17/2020, 29881.0, 0.0
District Office, 11/17/2020, 23996.0, 0.0
District Office, 10/19/2020, 35551.0, 0.0
District Office, 9/17/2020, 21989.0, 0.0
District Office, 8/18/2020, 17417.0, 0.0
District Office, 7/19/2020, 6641.0, 0.0
District Office, 6/18/2020, 1620.0, 0.0
District Office, 5/19/2020, -696.0, 0.0
District Office, 4/20/2020, 15591.0, 0.0
District Office, 3/19/2020, 7969.0, 0.0
