School, Date, KWH, Therms
Fremont, 6/25/2023, 164213.0, 0.0
Fremont, 5/24/2023, 178529.0, 0.0
Fremont, 4/25/2023, 185903.0, 0.0
Fremont, 3/26/2023, 203925.0, 0.0
Fremont, 2/23/2023, 213321.0, 0.0
Fremont, 1/24/2023, 195918.0, 0.0
Fremont, 12/22/2022, 209933.0, 0.0
Fremont, 11/22/2022, 192119.0, 0.0
Fremont, 10/24/2022, 181991.0, 0.0
Fremont, 9/25/2022, 206103.0, 0.0
Fremont, 8/24/2022, 137782.0, 0.0
Fremont, 7/25/2022, 52984.0, 0.0
Fremont, 6/23/2022, 57587.0, 0.0
Fremont, 5/24/2022, 56194.0, 0.0
Fremont, 4/25/2022, 76066.0, 0.0
Fremont, 3/24/2022, 115459.0, 0.0
Fremont, 2/23/2022, 140576.0, 0.0
Fremont, 1/24/2022, 159344.0, 0.0
Fremont, 12/23/2021, 157631.0, 0.0
Fremont, 11/23/2021, 152249.0, 0.0
Fremont, 10/25/2021, 117791.0, 0.0
Fremont, 10/2/2021, 33194.0, 0.0
Fremont, 9/26/2021, 108361.0, 0.0
Fremont, 8/25/2021, 61520.0, 0.0
Fremont, 7/26/2021, -19987.0, 0.0
Fremont, 6/24/2021, 25710.0, 0.0
Fremont, 5/25/2021, 10264.0, 0.0
Fremont, 4/26/2021, -3881.0, 0.0
Fremont, 3/25/2021, 38821.0, 0.0
Fremont, 2/24/2021, 46007.0, 0.0
Fremont, 1/25/2021, 60583.0, 0.0
Fremont, 12/23/2020, 61204.0, 0.0
Fremont, 11/23/2020, 64040.0, 0.0
Fremont, 10/25/2020, 37879.0, 0.0
Fremont, 9/23/2020, 20598.0, 0.0
Fremont, 8/24/2020, 2007.0, 0.0
Fremont, 7/23/2020, -40896.0, 0.0
Fremont, 6/24/2020, -38019.0, 0.0
Fremont, 5/26/2020, -31296.0, 0.0
Fremont, 4/26/2020, -11878.0, 0.0
Fremont, 3/25/2020, 102685.0, 0.0
Fremont, 2/25/2020, 132305.0, 0.0
Fremont, 1/26/2020, 158702.0, 0.0
Fremont, 12/25/2019, 181198.0, 0.0
Fremont, 11/24/2019, 185021.0, 0.0
Fremont, 10/24/2019, 199105.0, 0.0
Fremont, 9/25/2019, 239983.0, 0.0
Fremont, 8/26/2019, 148813.0, 0.0
Fremont, 7/25/2019, 94205.0, 0.0
Fremont, 6/25/2019, 93036.0, 0.0
Fremont, 5/27/2019, 126289.0, 0.0
Fremont, 4/25/2019, 115714.0, 0.0
Fremont, 3/26/2019, 154815.0, 0.0
Fremont, 2/25/2019, 200639.0, 0.0
Fremont, 1/24/2019, 194770.0, 0.0
Fremont, 12/25/2018, 205158.0, 0.0
Fremont, 11/26/2018, 230470.0, 0.0
Fremont, 6/16/2023, 0.0, 6496.0
Fremont, 5/17/2023, 0.0, 9015.0
Fremont, 4/19/2023, 0.0, 19606.0
Fremont, 3/20/2023, 0.0, 24885.0
Fremont, 2/16/2023, 0.0, 21768.0
Fremont, 1/18/2023, 0.0, 26476.0
Fremont, 12/16/2022, 0.0, 23865.0
Fremont, 11/17/2022, 0.0, 17224.0
Fremont, 10/18/2022, 0.0, 6586.0
Fremont, 9/19/2022, 0.0, 4303.0
Fremont, 8/17/2022, 0.0, 3285.0
Fremont, 7/19/2022, 0.0, 4644.0
Fremont, 6/15/2022, 0.0, 5134.0
Fremont, 5/18/2022, 0.0, 10805.0
Fremont, 4/19/2022, 0.0, 13292.0
Fremont, 3/18/2022, 0.0, 17165.0
Fremont, 2/16/2022, 0.0, 17685.0
Fremont, 1/18/2022, 0.0, 16705.0
Fremont, 12/17/2021, 0.0, 14215.0
Fremont, 11/17/2021, 0.0, 9648.0
Fremont, 10/19/2021, 0.0, 7858.0
Fremont, 9/19/2021, 0.0, 4876.0
Fremont, 8/19/2021, 0.0, 2901.0
Fremont, 7/20/2021, 0.0, 3316.0
Fremont, 6/18/2021, 0.0, 6171.0
Fremont, 5/19/2021, 0.0, 7820.0
Fremont, 4/20/2021, 0.0, 11315.0
Fremont, 3/19/2021, 0.0, 13019.0
Fremont, 2/18/2021, 0.0, 16559.0
Fremont, 1/19/2021, 0.0, 14600.0
Fremont, 12/17/2020, 0.0, 13913.0
Fremont, 11/17/2020, 0.0, 10056.0
Fremont, 10/19/2020, 0.0, 3446.0
Fremont, 9/17/2020, 0.0, 1921.0
Fremont, 8/18/2020, 0.0, 682.0
Fremont, 7/17/2020, 0.0, 915.0
Fremont, 6/18/2020, 0.0, 329.0
Fremont, 5/19/2020, 0.0, 434.0
Fremont, 4/20/2020, 0.0, 1148.0
Fremont, 3/19/2020, 0.0, 12843.0
