School, Date, KWH, Therms
Homestead, 6/26/2023, 83942.0, 0.0
Homestead, 5/25/2023, 105151.0, 0.0
Homestead, 4/26/2023, 80450.0, 0.0
Homestead, 3/27/2023, 115260.0, 0.0
Homestead, 2/26/2023, 123724.0, 0.0
Homestead, 1/25/2023, 125298.0, 0.0
Homestead, 12/26/2022, 128676.0, 0.0
Homestead, 11/27/2022, 126724.0, 0.0
Homestead, 10/25/2022, 113276.0, 0.0
Homestead, 9/26/2022, 123973.0, 0.0
Homestead, 8/25/2022, 54444.0, 0.0
Homestead, 7/26/2022, 3328.0, 0.0
Homestead, 6/26/2022, 26014.0, 0.0
Homestead, 5/25/2022, 47928.0, 0.0
Homestead, 4/26/2022, 51089.0, 0.0
Homestead, 3/27/2022, 76536.0, 0.0
Homestead, 2/24/2022, 95372.0, 0.0
Homestead, 1/25/2022, 132713.0, 0.0
Homestead, 12/26/2021, 133827.0, 0.0
Homestead, 11/28/2021, 170819.0, 0.0
Homestead, 10/26/2021, 160978.0, 0.0
Homestead, 9/27/2021, 187910.0, 0.0
Homestead, 8/26/2021, 137417.0, 0.0
Homestead, 7/27/2021, 41328.0, 0.0
Homestead, 6/27/2021, 48836.0, 0.0
Homestead, 5/26/2021, 53016.0, 0.0
Homestead, 4/27/2021, 32732.0, 0.0
Homestead, 3/28/2021, 44446.0, 0.0
Homestead, 2/25/2021, 73664.0, 0.0
Homestead, 1/26/2021, 87686.0, 0.0
Homestead, 12/27/2020, 95974.0, 0.0
Homestead, 11/24/2020, 92779.0, 0.0
Homestead, 10/26/2020, 89931.0, 0.0
Homestead, 9/24/2020, 92091.0, 0.0
Homestead, 8/25/2020, 80202.0, 0.0
Homestead, 7/26/2020, 28366.0, 0.0
Homestead, 6/25/2020, 45604.0, 0.0
Homestead, 5/27/2020, 16771.0, 0.0
Homestead, 4/27/2020, 48684.0, 0.0
Homestead, 3/26/2020, 99993.0, 0.0
Homestead, 2/26/2020, 126418.0, 0.0
Homestead, 1/27/2020, 152870.0, 0.0
Homestead, 12/26/2019, 162831.0, 0.0
Homestead, 11/25/2019, 156210.0, 0.0
Homestead, 10/27/2019, 154846.0, 0.0
Homestead, 9/26/2019, 165246.0, 0.0
Homestead, 8/27/2019, 124917.0, 0.0
Homestead, 7/28/2019, 78524.0, 0.0
Homestead, 6/26/2019, 58887.0, 0.0
Homestead, 5/28/2019, 83587.0, 0.0
Homestead, 4/28/2019, 79664.0, 0.0
Homestead, 3/27/2019, 105372.0, 0.0
Homestead, 2/26/2019, 129613.0, 0.0
Homestead, 1/27/2019, 135394.0, 0.0
Homestead, 12/26/2018, 139774.0, 0.0
Homestead, 11/27/2018, 152747.0, 0.0
Homestead, 6/20/2023, 0.0, 3666.0
Homestead, 5/19/2023, 0.0, 9313.0
Homestead, 4/20/2023, 0.0, 14262.0
Homestead, 3/20/2023, 0.0, 17291.0
Homestead, 2/17/2023, 0.0, 15358.0
Homestead, 1/19/2023, 0.0, 13661.0
Homestead, 12/19/2022, 0.0, 13921.0
Homestead, 11/18/2022, 0.0, 8799.0
Homestead, 10/19/2022, 0.0, 3026.0
Homestead, 9/20/2022, 0.0, 2835.0
Homestead, 8/17/2022, 0.0, 2332.0
Homestead, 7/20/2022, 0.0, 2514.0
Homestead, 6/17/2022, 0.0, 3085.0
Homestead, 5/19/2022, 0.0, 7936.0
Homestead, 4/20/2022, 0.0, 8822.0
Homestead, 3/21/2022, 0.0, 11782.0
Homestead, 2/17/2022, 0.0, 13020.0
Homestead, 1/19/2022, 0.0, 11279.0
Homestead, 12/20/2021, 0.0, 11214.0
Homestead, 11/18/2021, 0.0, 6562.0
Homestead, 10/20/2021, 0.0, 5649.0
Homestead, 9/20/2021, 0.0, 3749.0
Homestead, 8/20/2021, 0.0, 2525.0
Homestead, 7/20/2021, 0.0, 1682.0
Homestead, 6/21/2021, 0.0, 3624.0
Homestead, 5/20/2021, 0.0, 6239.0
Homestead, 4/21/2021, 0.0, 10657.0
Homestead, 3/22/2021, 0.0, 9154.0
Homestead, 2/19/2021, 0.0, 11726.0
Homestead, 1/20/2021, 0.0, 6780.0
Homestead, 12/18/2020, 0.0, 9683.0
Homestead, 11/18/2020, 0.0, 2430.0
Homestead, 10/20/2020, 0.0, 4563.0
Homestead, 9/18/2020, 0.0, 4001.0
Homestead, 8/19/2020, 0.0, 4421.0
Homestead, 7/20/2020, 0.0, 2955.0
Homestead, 6/19/2020, 0.0, 3620.0
Homestead, 5/20/2020, 0.0, 3853.0
Homestead, 4/21/2020, 0.0, 6412.0
Homestead, 3/20/2020, 0.0, 9830.0
Homestead, 2/20/2020, 0.0, 13061.0
Homestead, 1/21/2020, 0.0, 16446.0
Homestead, 12/19/2019, 0.0, 13762.0
Homestead, 11/18/2019, 0.0, 8547.0
Homestead, 10/21/2019, 0.0, 6589.0
Homestead, 9/20/2019, 0.0, 3960.0
Homestead, 8/21/2019, 0.0, 4178.0
Homestead, 7/22/2019, 0.0, 4495.0
Homestead, 6/20/2019, 0.0, 4641.0
Homestead, 5/21/2019, 0.0, 7286.0
Homestead, 4/22/2019, 0.0, 10778.0
Homestead, 3/21/2019, 0.0, 14879.0
Homestead, 2/20/2019, 0.0, 18555.0
Homestead, 1/18/2019, 0.0, 14433.0
Homestead, 12/19/2018, 0.0, 10712.0
Homestead, 11/19/2018, 0.0, 8733.0
Homestead, 6/20/2023, 0.0, 64.0
Homestead, 5/19/2023, 0.0, 167.0
Homestead, 4/20/2023, 0.0, 318.0
