School, Date, KWH, Therms
Lynbrook, 6/22/2023, 0.0, 4787.0
Lynbrook, 5/23/2023, 0.0, 6172.0
Lynbrook, 4/24/2023, 0.0, 12471.0
Lynbrook, 3/23/2023, 0.0, 15357.0
Lynbrook, 2/22/2023, 0.0, 13086.0
Lynbrook, 1/23/2023, 0.0, 15182.0
Lynbrook, 12/21/2022, 0.0, 15512.0
Lynbrook, 11/21/2022, 0.0, 14372.0
Lynbrook, 10/21/2022, 0.0, 5100.0
Lynbrook, 9/22/2022, 0.0, 4200.0
Lynbrook, 8/23/2022, 0.0, 1553.0
Lynbrook, 7/22/2022, 0.0, 769.0
Lynbrook, 6/22/2022, 0.0, 923.0
Lynbrook, 5/23/2022, 0.0, 6228.0
Lynbrook, 4/22/2022, 0.0, 7038.0
Lynbrook, 3/23/2022, 0.0, 7798.0
Lynbrook, 2/22/2022, 0.0, 13629.0
Lynbrook, 1/21/2022, 0.0, 10285.0
Lynbrook, 12/22/2021, 0.0, 16339.0
Lynbrook, 11/22/2021, 0.0, 9520.0
Lynbrook, 10/22/2021, 0.0, 6482.0
Lynbrook, 9/23/2021, 0.0, 2889.0
Lynbrook, 8/24/2021, 0.0, 1740.0
Lynbrook, 7/23/2021, 0.0, 1332.0
Lynbrook, 6/23/2021, 0.0, 2531.0
Lynbrook, 5/24/2021, 0.0, 4108.0
Lynbrook, 4/23/2021, 0.0, 7484.0
Lynbrook, 3/24/2021, 0.0, 9575.0
Lynbrook, 2/23/2021, 0.0, 8845.0
Lynbrook, 1/22/2021, 0.0, 3381.0
Lynbrook, 12/22/2020, 0.0, 3114.0
Lynbrook, 11/20/2020, 0.0, 2332.0
Lynbrook, 10/22/2020, 0.0, 187.0
Lynbrook, 9/22/2020, 0.0, 677.0
Lynbrook, 8/22/2020, 0.0, 62.0
Lynbrook, 7/22/2020, 0.0, 62.0
Lynbrook, 6/23/2020, 0.0, 458.0
Lynbrook, 5/22/2020, 0.0, 405.0
Lynbrook, 4/23/2020, 0.0, 1089.0
Lynbrook, 3/24/2020, 0.0, 10864.0
Lynbrook, 2/24/2020, 0.0, 15788.0
Lynbrook, 1/23/2020, 0.0, 16697.0
Lynbrook, 12/23/2019, 0.0, 15198.0
Lynbrook, 11/21/2019, 0.0, 9528.0
Lynbrook, 10/23/2019, 0.0, 9340.0
Lynbrook, 9/25/2019, 0.0, 3684.0
Lynbrook, 8/23/2019, 0.0, 976.0
Lynbrook, 7/24/2019, 0.0, 1366.0
Lynbrook, 6/24/2019, 0.0, 2056.0
Lynbrook, 5/24/2019, 0.0, 7556.0
Lynbrook, 4/24/2019, 0.0, 9404.0
Lynbrook, 3/25/2019, 0.0, 14403.0
Lynbrook, 2/22/2019, 0.0, 18510.0
Lynbrook, 1/23/2019, 0.0, 10641.0
Lynbrook, 12/21/2018, 0.0, 11507.0
Lynbrook, 11/21/2018, 0.0, 8343.0
