School, Date, KWH, Therms,Date Set 2,KWH,Therm,Date Set 3,KWH,Therms,KWH Co2,Therms Co2,Total 
District Office, 6/20/2023,0,15, 6/15/2023,31626,0, 6/19/2023,13974,0,17784,82.35,17866.35
District Office, 5/19/2023,0,44, 5/17/2023,33210,0, 5/18/2023,17072,0,19609.98,241.56,19851.54
District Office, 4/20/2023,0,99, 4/18/2023,37326,0, 4/19/2023,22999,0,23526.75,543.51,24070.26
District Office, 3/21/2023,0,118, 3/19/2023,41967,0, 3/20/2023,26711,0,26784.42,647.82,27432.24
District Office, 2/17/2023,0,118, 2/15/2023,42767,0, 2/16/2023,27304,0,27327.69,647.82,27975.51
District Office, 1/19/2023,0,130, 1/17/2023,43449,0, 1/18/2023,26413,0,27246.18,713.7,27959.88
District Office, 12/19/2022,0,137, 12/15/2022,41961,0, 12/18/2022,26603,0,26739.96,752.13,27492.09
District Office, 11/18/2022,0,77, 11/16/2022,39986,0, 11/17/2022,20967,0,23771.67,422.73,24194.4
District Office, 10/19/2022,0,15, 10/17/2022,38166,0, 10/18/2022,14717,0,20624.37,82.35,20706.72
District Office, 9/20/2022,0,4, 9/18/2022,44010,0, 9/19/2022,16152,0,23463.18,21.96,23485.14
District Office, 8/18/2022,0,4, 8/17/2022,37011,0, 8/18/2022,6316,0,16897.53,21.96,16919.49
District Office, 7/20/2022,0,7, 7/18/2022,36517,0, 7/19/2022,3933,0,15775.5,38.43,15813.93
District Office, 6/17/2022,0,13, 6/15/2022,33706,0, 6/16/2022,9213,0,16738.41,71.37,16809.78
District Office, 5/19/2022,0,51, 5/17/2022,32632,0, 5/18/2022,13617,0,18037.11,279.99,18317.1
District Office, 4/20/2022,0,63, 4/18/2022,36836,0, 4/19/2022,16542,0,20817.42,345.87,21163.29
District Office, 3/21/2022,0,97, 3/17/2022,37127,0, 3/20/2022,19686,0,22157.07,532.53,22689.6
District Office, 2/17/2022,0,91, 2/15/2022,38103,0, 2/16/2022,34239,0,28213.38,499.59,28712.97
District Office, 1/19/2022,0,69, 1/17/2022,36110,0, 1/18/2022,34879,0,27685.71,378.81,28064.52
District Office, 12/20/2021,0,93, 12/16/2021,29366,0, 12/19/2021,38834,0,26598,510.57,27108.57
District Office, 11/18/2021,0,37, 11/16/2021,28723,0, 11/17/2021,23810,0,20487.87,203.13,20691
District Office, 10/20/2021,0,26, 10/18/2021,29280,0, 10/19/2021,24512,0,20978.88,142.74,21121.62
District Office, 9/21/2021,0,5, 9/19/2021,25467,0, 9/20/2021,22294,0,18626.79,27.45,18654.24
District Office, 8/20/2021,0,29, 8/18/2021,13950,0, 8/19/2021,17499,0,12265.11,159.21,12424.32
District Office, 7/21/2021,0,4,,,, 7/20/2021,12748,0,4971.72,21.96,4993.68
District Office, 6/21/2021,0,18,,,, 6/20/2021,17781,0,6934.59,98.82,7033.41
District Office, 5/20/2021,0,30,,,, 5/19/2021,16006,0,6242.34,164.7,6407.04
District Office, 4/21/2021,0,59,,,, 4/20/2021,17018,0,6637.02,323.91,6960.93
District Office, 3/22/2021,0,105,,,, 3/21/2021,20717,0,8079.63,576.45,8656.08
District Office, 2/19/2021,0,114,,,, 2/18/2021,26446,0,10313.94,625.86,10939.8
District Office, 1/20/2021,0,108,,,, 1/19/2021,28865,0,11257.35,592.92,11850.27
District Office, 12/18/2020,0,102,,,, 12/17/2020,29881,0,11653.59,559.98,12213.57
District Office, 11/17/2020,0,53,,,, 11/17/2020,23996,0,9358.44,290.97,9649.41
District Office, 10/20/2020,0,18,,,, 10/19/2020,35551,0,13864.89,98.82,13963.71
District Office, 9/18/2020,0,15,,,, 9/17/2020,21989,0,8575.71,82.35,8658.06
District Office, 8/19/2020,0,12,,,, 8/18/2020,17417,0,6792.63,65.88,6858.51
District Office, 7/20/2020,0,23,,,, 7/19/2020,6641,0,2589.99,126.27,2716.26
District Office, 6/19/2020,0,35,,,, 6/18/2020,1620,0,631.8,192.15,823.95
District Office, 5/20/2020,0,59,,,, 5/19/2020,-696,0,-271.44,323.91,52.47
District Office, 4/21/2020,0,183,,,, 4/20/2020,15591,0,6080.49,1004.67,7085.16
District Office, 3/20/2020,0,162,,,, 3/19/2020,7969,0,3107.91,889.38,3997.29
District Office, 2/20/2020,0,216,,,,,,,0,1185.84,1185.84
District Office, 1/21/2020,0,342,,,,,,,0,1877.58,1877.58
District Office, 12/19/2019,0,230,,,,,,,0,1262.7,1262.7
District Office, 11/18/2019,0,113,,,,,,,0,620.37,620.37
District Office, 10/21/2019,0,79,,,,,,,0,433.71,433.71
District Office, 9/20/2019,0,32,,,,,,,0,175.68,175.68
District Office, 8/21/2019,0,17,,,,,,,0,93.33,93.33
District Office, 7/22/2019,0,33,,,,,,,0,181.17,181.17
District Office, 6/20/2019,0,50,,,,,,,0,274.5,274.5
District Office, 5/21/2019,0,113,,,,,,,0,620.37,620.37
District Office, 4/22/2019,0,199,,,,,,,0,1092.51,1092.51
District Office, 3/21/2019,0,334,,,,,,,0,1833.66,1833.66
District Office, 2/20/2019,0,485,,,,,,,0,2662.65,2662.65
District Office, 1/18/2019,0,459,,,,,,,0,2519.91,2519.91
District Office, 12/19/2018,0,386,,,,,,,0,2119.14,2119.14
District Office, 11/19/2018,0,279,,,,,,,0,1531.71,1531.71
