School, Date, KWH, Therms,Date Set 2,,,Date Set 3,,,Date Set 4,,,,KWH Co2,Therms CO2,Total
Fremont, 6/25/2023,164213,0, 6/16/2023,0,6496, 6/26/2023,0,0, 6/25/2023,0,58,,64043.07,35981.46,100024.53
Fremont, 5/24/2023,178529,0, 5/17/2023,0,9015, 5/25/2023,0,0, 5/25/2023,0,166,,69626.31,50403.69,120030
Fremont, 4/25/2023,185903,0, 4/19/2023,0,19606, 4/26/2023,0,0, 4/26/2023,0,417,,72502.17,109926.27,182428.44
Fremont, 3/26/2023,203925,0, 3/20/2023,0,24885, 3/27/2023,0,0, 3/27/2023,0,706,,79530.75,140494.59,220025.34
Fremont, 2/23/2023,213321,0, 2/16/2023,0,21768, 2/24/2023,0,0, 2/24/2023,0,785,,83195.19,123815.97,207011.16
Fremont, 1/24/2023,195918,0, 1/18/2023,0,26476, 1/25/2023,0,0, 1/25/2023,0,589,,76408.02,148586.85,224994.87
Fremont, 12/22/2022,209933,0, 12/16/2022,0,23865, 12/23/2022,0,0, 12/23/2022,0,635,,81873.87,134505,216378.87
Fremont, 11/22/2022,192119,0, 11/17/2022,0,17224, 11/23/2022,0,0, 11/23/2022,0,408,,74926.41,96799.68,171726.09
Fremont, 10/24/2022,181991,0, 10/18/2022,0,6586, 10/25/2022,0,0, 10/25/2022,0,81,,70976.49,36601.83,107578.32
Fremont, 9/25/2022,206103,0, 9/19/2022,0,4303, 9/26/2022,0,0, 9/26/2022,0,36,,80380.17,23821.11,104201.28
Fremont, 8/24/2022,137782,0, 8/17/2022,0,3285, 8/25/2022,0,0, 8/25/2022,0,21,,53734.98,18149.94,71884.92
Fremont, 7/25/2022,52984,0, 7/19/2022,0,4644, 7/26/2022,0,0, 7/25/2022,0,19,,20663.76,25599.87,46263.63
Fremont, 6/23/2022,57587,0, 6/15/2022,0,5134, 6/24/2022,0,0, 6/24/2022,0,40,,22458.93,28405.26,50864.19
Fremont, 5/24/2022,56194,0, 5/18/2022,0,10805, 5/25/2022,0,0, 5/24/2022,0,191,,21915.66,60368.04,82283.7
Fremont, 4/25/2022,76066,0, 4/19/2022,0,13292, 4/26/2022,0,0, 4/26/2022,0,251,,29665.74,74351.07,104016.81
Fremont, 3/24/2022,115459,0, 3/18/2022,0,17165, 3/25/2022,0,0, 3/25/2022,0,374,,45029.01,96289.11,141318.12
Fremont, 2/23/2022,140576,0, 2/16/2022,0,17685, 2/24/2022,0,0, 2/24/2022,0,461,,54824.64,99621.54,154446.18
Fremont, 1/24/2022,159344,0, 1/18/2022,0,16705, 1/25/2022,0,0, 1/25/2022,0,536,,62144.16,94653.09,156797.25
Fremont, 12/23/2021,157631,0, 12/17/2021,0,14215, 12/24/2021,0,0, 12/24/2021,0,546,,61476.09,81037.89,142513.98
Fremont, 11/23/2021,152249,0, 11/17/2021,0,9648, 11/24/2021,0,0, 11/24/2021,0,253,,59377.11,54356.49,113733.6
