School, Date Set 1, KWH, Therms,Date Set 2,KWH #2,Therms #2,Date Set 3,Kwh #3,Therms #3,KWH TO CO2,Therms to CO2,,KWH CO2,Therm CO2,,Total Carbon Emissions
Homestead, 6/26/2023,83942,0, 6/20/2023,0,3666, 6/20/2023,0,64,0.39,5.49,,32737.38,20477.7,,53215.08
Homestead, 5/25/2023,105151,0, 5/19/2023,0,9313, 5/19/2023,0,167,0.39,5.49,,41008.89,52045.2,,93054.09
Homestead, 4/26/2023,80450,0, 4/20/2023,0,14262, 4/20/2023,0,318,0.39,5.49,,31375.5,80044.2,,111419.7
Homestead, 3/27/2023,115260,0, 3/20/2023,0,17291, 3/21/2023,0,519,0.39,5.49,,44951.4,97776.9,,142728.3
Homestead, 2/26/2023,123724,0, 2/17/2023,0,15358, 2/17/2023,0,480,0.39,5.49,,48252.36,86950.62,,135202.98
Homestead, 1/25/2023,125298,0, 1/19/2023,0,13661, 1/19/2023,0,359,0.39,5.49,,48866.22,76969.8,,125836.02
Homestead, 12/26/2022,128676,0, 12/19/2022,0,13921, 12/19/2022,0,519,0.39,5.49,,50183.64,79275.6,,129459.24
Homestead, 11/27/2022,126724,0, 11/18/2022,0,8799, 11/18/2022,0,193,0.39,5.49,,49422.36,49366.08,,98788.44
Homestead, 10/25/2022,113276,0, 10/19/2022,0,3026, 10/19/2022,0,47,0.39,5.49,,44177.64,16870.77,,61048.41
Homestead, 9/26/2022,123973,0, 9/20/2022,0,2835, 9/20/2022,0,22,0.39,5.49,,48349.47,15684.93,,64034.4
Homestead, 8/25/2022,54444,0, 8/17/2022,0,2332, 8/18/2022,0,1,0.39,5.49,,21233.16,12808.17,,34041.33
Homestead, 7/26/2022,3328,0, 7/20/2022,0,2514, 7/20/2022,0,6,0.39,5.49,,1297.92,13834.8,,15132.72
Homestead, 6/26/2022,26014,0, 6/17/2022,0,3085, 6/17/2022,0,244,0.39,5.49,,10145.46,18276.21,,28421.67
Homestead, 5/25/2022,47928,0, 5/19/2022,0,7936, 5/19/2022,0,208,0.39,5.49,,18691.92,44710.56,,63402.48
Homestead, 4/26/2022,51089,0, 4/20/2022,0,8822, 4/20/2022,0,220,0.39,5.49,,19924.71,49640.58,,69565.29
