School, Date, KWH, Therms,KWH to CO2,Therms to CO2,,KWH to CO2,Gas to CO2,Total CO2 Emissions (Therms + KWH to Co2)
Monta Vista, 7/10/2023,0,5049,0.39,5.49,,0,27719.01,27719.01
Monta Vista, 6/8/2023,0,8325,0.39,5.49,,0,45704.25,45704.25
Monta Vista, 5/9/2023,0,36140,0.39,5.49,,0,198408.6,198408.6
Monta Vista, 4/10/2023,0,95799,0.39,5.49,,0,525936.51,525936.51
Monta Vista, 3/9/2023,0,84805,0.39,5.49,,0,465579.45,465579.45
Monta Vista, 2/8/2023,0,136040,0.39,5.49,,0,746859.6,746859.6
Monta Vista, 1/9/2023,0,65741,0.39,5.49,,0,360918.09,360918.09
Monta Vista, 12/8/2022,0,32591,0.39,5.49,,0,178924.59,178924.59
Monta Vista, 11/7/2022,0,26176,0.39,5.49,,0,143706.24,143706.24
Monta Vista, 10/7/2022,0,6851,0.39,5.49,,0,37611.99,37611.99
Monta Vista, 9/8/2022,0,5281,0.39,5.49,,0,28992.69,28992.69
Monta Vista, 8/9/2022,0,1771,0.39,5.49,,0,9722.79,9722.79
Monta Vista, 7/8/2022,0,960,0.39,5.49,,0,5270.4,5270.4
Monta Vista, 6/8/2022,0,19234,0.39,5.49,,0,105594.66,105594.66
Monta Vista, 5/9/2022,0,50839,0.39,5.49,,0,279106.11,279106.11
Monta Vista, 4/8/2022,0,72910,0.39,5.49,,0,400275.9,400275.9
Monta Vista, 3/8/2022,0,84825,0.39,5.49,,0,465689.25,465689.25
Monta Vista, 2/7/2022,0,117869,0.39,5.49,,0,647100.81,647100.81
Monta Vista, 1/6/2022,0,32313,0.39,5.49,,0,177398.37,177398.37
Monta Vista, 12/8/2021,0,31229,0.39,5.49,,0,171447.21,171447.21
Monta Vista, 11/8/2021,0,63520,0.39,5.49,,0,348724.8,348724.8
Monta Vista, 10/7/2021,0,23016,0.39,5.49,,0,126357.84,126357.84
Monta Vista, 9/9/2021,0,15605,0.39,5.49,,0,85671.45,85671.45
Monta Vista, 8/10/2021,0,6138,0.39,5.49,,0,33697.62,33697.62
Monta Vista, 7/9/2021,0,1556,0.39,5.49,,0,8542.44,8542.44
Monta Vista, 6/9/2021,0,21110,0.39,5.49,,0,115893.9,115893.9
Monta Vista, 5/10/2021,0,106833,0.39,5.49,,0,586513.17,586513.17
Monta Vista, 4/9/2021,0,19805,0.39,5.49,,0,108729.45,108729.45
Monta Vista, 3/10/2021,0,28451,0.39,5.49,,0,156195.99,156195.99
Monta Vista, 2/22/2021,0,32450,0.39,5.49,,0,178150.5,178150.5
Monta Vista, 1/21/2021,0,35453,0.39,5.49,,0,194636.97,194636.97
Monta Vista, 12/21/2020,0,36515,0.39,5.49,,0,200467.35,200467.35
Monta Vista, 11/19/2020,0,29153,0.39,5.49,,0,160049.97,160049.97
Monta Vista, 10/21/2020,0,11132,0.39,5.49,,0,61114.68,61114.68
Monta Vista, 9/20/2020,0,6419,0.39,5.49,,0,35240.31,35240.31
Monta Vista, 8/20/2020,0,911,0.39,5.49,,0,5001.39,5001.39
Monta Vista, 7/21/2020,0,1023,0.39,5.49,,0,5616.27,5616.27
Monta Vista, 6/22/2020,0,744,0.39,5.49,,0,4084.56,4084.56
Monta Vista, 5/21/2020,0,921,0.39,5.49,,0,5056.29,5056.29
Monta Vista, 4/22/2020,0,10728,0.39,5.49,,0,58896.72,58896.72
Monta Vista, 3/23/2020,0,54288,0.39,5.49,,0,298041.12,298041.12
Monta Vista, 2/21/2020,0,82375,0.39,5.49,,0,452238.75,452238.75
Monta Vista, 1/22/2020,0,58541,0.39,5.49,,0,321390.09,321390.09
Monta Vista, 12/20/2019,0,31313,0.39,5.49,,0,171908.37,171908.37
Monta Vista, 11/20/2019,0,48465,0.39,5.49,,0,266072.85,266072.85
Monta Vista, 10/22/2019,0,42117,0.39,5.49,,0,231222.33,231222.33
Monta Vista, 9/23/2019,0,15873,0.39,5.49,,0,87142.77,87142.77
Monta Vista, 8/22/2019,0,5669,0.39,5.49,,0,31122.81,31122.81
Monta Vista, 7/23/2019,0,9248,0.39,5.49,,0,50771.52,50771.52
Monta Vista, 6/21/2019,0,15315,0.39,5.49,,0,84079.35,84079.35
Monta Vista, 5/22/2019,0,83,0.39,5.49,,0,455.67,455.67
Monta Vista, 4/23/2019,0,0,0.39,5.49,,0,0,0
Monta Vista, 3/22/2019,0,0,0.39,5.49,,0,0,0
Monta Vista, 2/21/2019,0,0,0.39,5.49,,0,0,0
Monta Vista, 1/22/2019,0,0,0.39,5.49,,0,0,0
Monta Vista, 12/20/2018,0,37315,0.39,5.49,,0,204859.35,204859.35
Monta Vista, 11/20/2018,0,60704,0.39,5.49,,0,333264.96,333264.96
,,,,,,,,,10033178.13
