Date,CO2
 6/26/2023,25193.61
 5/25/2023,38089.62
 4/26/2023,73566
 3/27/2023,94592.7
 2/26/2023,109887.84
 1/25/2023,91287.72
 12/26/2022,88740.36
 11/27/2022,63936.54
 10/25/2022,21251.79
 9/26/2022,12039.57
 8/25/2022,11677.23
 7/26/2022,10529.82
 6/26/2022,19549.89
 5/25/2022,41795.37
 4/26/2022,45698.76
 3/27/2022,64633.77
 2/24/2022,77551.74
 1/25/2022,86840.82
 12/26/2021,86676.12
 11/28/2021,44364.69
 10/26/2021,37957.86
 9/27/2021,16063.74
 8/26/2021,10502.37
 7/27/2021,10765.89
 6/27/2021,23870.52
 5/26/2021,34213.68
 4/27/2021,47900.25
 3/28/2021,37474.74
 2/25/2021,30919.68
 1/26/2021,34427.79
 12/27/2020,47257.92
 11/24/2020,50079.78
 10/26/2020,16859.79
 9/24/2020,4260.24
 8/25/2020,3255.57
 7/26/2020,3557.52
 6/25/2020,3886.92
 5/27/2020,4584.15
 4/27/2020,22563.9
 3/26/2020,48284.55
 2/26/2020,75789.45
 1/27/2020,104985.27
 12/26/2019,73110.33
 11/25/2019,41251.86
 10/27/2019,32105.52
 9/26/2019,11276.46
 8/27/2019,7213.86
 7/28/2019,3892.41
 6/26/2019,9508.68
 5/28/2019,22377.24
 4/28/2019,35915.58
 3/27/2019,54735.3
 2/26/2019,59154.75
 1/27/2019,33856.83
 12/26/2018,31314.96
 11/27/2018,31199.67

