Date,CO2
 6/20/2023,17866.35
 5/19/2023,19851.54
 4/20/2023,24070.26
 3/21/2023,27432.24
 2/17/2023,27975.51
 1/19/2023,27959.88
 12/19/2022,27492.09
 11/18/2022,24194.4
 10/19/2022,20706.72
 9/20/2022,23485.14
 8/18/2022,16919.49
 7/20/2022,15813.93
 6/17/2022,16809.78
 5/19/2022,18317.1
 4/20/2022,21163.29
 3/21/2022,22689.6
 2/17/2022,28712.97
 1/19/2022,28064.52
 12/20/2021,27108.57
 11/18/2021,20691.0
 10/20/2021,21121.62
 9/21/2021,18654.24
 8/20/2021,12424.32
 7/21/2021,4993.68
 6/21/2021,7033.41
 5/20/2021,6407.04
 4/21/2021,6960.93
 3/22/2021,8656.08
 2/19/2021,10939.8
 1/20/2021,11850.27
 12/18/2020,12213.57
 11/17/2020,9649.41
 10/20/2020,13963.71
 9/18/2020,8658.06
 8/19/2020,6858.51
 7/20/2020,2716.26
 6/19/2020,823.95
 5/20/2020,52.47
 4/21/2020,7085.16
 3/20/2020,3997.29
 2/20/2020,1185.84
 1/21/2020,1877.58
 12/19/2019,1262.7
 11/18/2019,620.37
 10/21/2019,433.71
 9/20/2019,175.68
 8/21/2019,93.33
 7/22/2019,181.17
 6/20/2019,274.5
 5/21/2019,620.37
 4/22/2019,1092.51
 3/21/2019,1833.66
 2/20/2019,2662.65
 1/18/2019,2519.91
 12/19/2018,2119.14
 11/19/2018,1531.71
