Date,CO2
 6/25/2023,35981.46
 5/24/2023,50403.69
 4/25/2023,109926.27
 3/26/2023,140494.59
 2/23/2023,123815.97
 1/24/2023,148586.85
 12/22/2022,134505.0
 11/22/2022,96799.68
 10/24/2022,36601.83
 9/25/2022,23821.11
 8/24/2022,18149.94
 7/25/2022,25599.87
 6/23/2022,28405.26
 5/24/2022,60368.04
 4/25/2022,74351.07
 3/24/2022,96289.11
 2/23/2022,99621.54
 1/24/2022,94653.09
 12/23/2021,81037.89
 11/23/2021,54356.49
 10/25/2021,43178.85
 10/2/2021,26895.51
 9/26/2021,15931.98
 8/25/2021,18215.82
 7/26/2021,34142.31
 6/24/2021,43810.2
 5/25/2021,63118.53
 4/26/2021,73664.82
 3/25/2021,93176.28
 2/24/2021,82229.22
 1/25/2021,78715.62
 12/23/2020,56651.31
 11/23/2020,19840.86
 10/25/2020,10667.07
 9/23/2020,3755.16
 8/24/2020,5199.03
 7/23/2020,2064.24
 6/24/2020,3294.0
 5/26/2020,7301.7
 4/26/2020,72687.6
 3/25/2020,117980.1
 2/25/2020,114526.89
 1/26/2020,112067.37
 12/25/2019,54625.5
 11/24/2019,51781.68
 10/24/2019,29805.21
 9/25/2019,27082.17
 8/26/2019,34823.07
 7/25/2019,42942.78
 6/25/2019,68762.25
 5/27/2019,83272.32
 4/25/2019,128444.04
 3/26/2019,167263.83
 2/25/2019,137052.36
 1/24/2019,132825.06
 12/25/2018,59462.19
