Date,CO2
 6/26/2023,0.39
 5/25/2023,0.39
 4/26/2023,0.39
 3/27/2023,0.39
 2/26/2023,0.39
 1/25/2023,0.39
 12/26/2022,0.39
 11/27/2022,0.39
 10/25/2022,0.39
 9/26/2022,0.39
 8/25/2022,0.39
 7/26/2022,0.39
 6/26/2022,0.39
 5/25/2022,0.39
 4/26/2022,0.39
 3/27/2022,0.39
 2/24/2022,0.39
 1/25/2022,0.39
 12/26/2021,0.39
 11/28/2021,0.39
 10/26/2021,0.39
 9/27/2021,0.39
 8/26/2021,0.39
 7/27/2021,0.39
 6/27/2021,0.39
 5/26/2021,0.39
 4/27/2021,0.39
 3/28/2021,0.39
 2/25/2021,0.39
 1/26/2021,0.39
 12/27/2020,0.39
 11/24/2020,0.39
 10/26/2020,0.39
 9/24/2020,0.39
 8/25/2020,0.39
 7/26/2020,0.39
 6/25/2020,0.39
 5/27/2020,0.39
 4/27/2020,0.39
 3/26/2020,0.39
 2/26/2020,0.39
 1/27/2020,0.39
 12/26/2019,0.39
 11/25/2019,0.39
 10/27/2019,0.39
 9/26/2019,0.39
 8/27/2019,0.39
 7/28/2019,0.39
 6/26/2019,0.39
 5/28/2019,0.39
 4/28/2019,0.39
 3/27/2019,0.39
 2/26/2019,0.39
 1/27/2019,0.39
 12/26/2018,0.39
 11/27/2018,0.39
