Date,CO2
 6/22/2023,26280.63
 5/23/2023,33884.28
 4/24/2023,68465.79
 3/23/2023,84309.93
 2/22/2023,71842.14
 1/23/2023,83349.18
 12/21/2022,85160.88
 11/21/2022,78902.28
 10/21/2022,27999.0
 9/22/2022,23058.0
 8/23/2022,8525.97
 7/22/2022,4221.81
 6/22/2022,5067.27
 5/23/2022,34191.72
 4/22/2022,38638.62
 3/23/2022,42811.02
 2/22/2022,74823.21
 1/21/2022,56464.65
 12/22/2021,89701.11
 11/22/2021,52264.8
 10/22/2021,35586.18
 9/23/2021,15860.61
 8/24/2021,9552.6
 7/23/2021,7312.68
 6/23/2021,13895.19
 5/24/2021,22552.92
 4/23/2021,41087.16
 3/24/2021,52566.75
 2/23/2021,48559.05
 1/22/2021,18561.69
 12/22/2020,17095.86
 11/20/2020,12802.68
 10/22/2020,1026.63
 9/22/2020,3716.73
 8/22/2020,340.38
 7/22/2020,340.38
 6/23/2020,2514.42
 5/22/2020,2223.45
 4/23/2020,5978.61
 3/24/2020,59643.36
 2/24/2020,86676.12
 1/23/2020,91666.53
 12/23/2019,83437.02
 11/21/2019,52308.72
 10/23/2019,51276.6
 9/25/2019,20225.16
 8/23/2019,5358.24
 7/24/2019,7499.34
 6/24/2019,11287.44
 5/24/2019,41482.44
 4/24/2019,51627.96
 3/25/2019,79072.47
 2/22/2019,101619.9
 1/23/2019,58419.09
 12/21/2018,63173.43
 11/21/2018,45803.07
